"Source File","Line Number","Rule ID","Rule Name","Description"
"Authentication/ActiveDirectoryDeps.cs","20","cr-dotnet-0055","ActiveDirectory Dependencies","Application integrates with Active Directory through System.DirectoryServices for authentication, authorization, or user management. AD integration assumes on-premises infrastructure and doesn't work in cloud-native applications without complex hybrid configurations."
"Authentication/ActiveDirectoryDeps.cs","34","cr-dotnet-0055","ActiveDirectory Dependencies","Application integrates with Active Directory through System.DirectoryServices for authentication, authorization, or user management. AD integration assumes on-premises infrastructure and doesn't work in cloud-native applications without complex hybrid configurations."
"Authentication/ActiveDirectoryDeps.cs","46","cr-dotnet-0055","ActiveDirectory Dependencies","Application integrates with Active Directory through System.DirectoryServices for authentication, authorization, or user management. AD integration assumes on-premises infrastructure and doesn't work in cloud-native applications without complex hybrid configurations."
"Authentication/CertificateStoreAccess.cs","17","cr-dotnet-0032","Certificate Store Access","Application accesses the Windows Certificate Store using X509Store or certificate management APIs. Windows Certificate Store doesn't exist on non-Windows cloud platforms, causing certificate loading failures."
"Authentication/CertificateStoreAccess.cs","29","cr-dotnet-0032","Certificate Store Access","Application accesses the Windows Certificate Store using X509Store or certificate management APIs. Windows Certificate Store doesn't exist on non-Windows cloud platforms, causing certificate loading failures."
"Authentication/CertificateStoreAccess.cs","41","cr-dotnet-0032","Certificate Store Access","Application accesses the Windows Certificate Store using X509Store or certificate management APIs. Windows Certificate Store doesn't exist on non-Windows cloud platforms, causing certificate loading failures."
"Authentication/FormsAuthentication.cs","20","cr-dotnet-0029","Forms Authentication","Application uses ASP.NET Forms Authentication for user authentication and session management. Forms Authentication relies on machine keys and server affinity, which don't work in distributed cloud environments with load balancing."
"Authentication/FormsAuthentication.cs","27","cr-dotnet-0029","Forms Authentication","Application uses ASP.NET Forms Authentication for user authentication and session management. Forms Authentication relies on machine keys and server affinity, which don't work in distributed cloud environments with load balancing."
"Authentication/FormsAuthentication.cs","33","cr-dotnet-0029","Forms Authentication","Application uses ASP.NET Forms Authentication for user authentication and session management. Forms Authentication relies on machine keys and server affinity, which don't work in distributed cloud environments with load balancing."
"Authentication/FormsAuthentication.cs","43","cr-dotnet-0029","Forms Authentication","Application uses ASP.NET Forms Authentication for user authentication and session management. Forms Authentication relies on machine keys and server affinity, which don't work in distributed cloud environments with load balancing."
"Authentication/IPAddressRestrictions.cs","17","cr-dotnet-0031","IP Address Restrictions","Application implements IP address-based security restrictions or access control mechanisms. Cloud load balancers and reverse proxies mask original client IP addresses, causing IP-based security rules to fail or incorrectly block/allow access."
"Authentication/IPAddressRestrictions.cs","25","cr-dotnet-0031","IP Address Restrictions","Application implements IP address-based security restrictions or access control mechanisms. Cloud load balancers and reverse proxies mask original client IP addresses, causing IP-based security rules to fail or incorrectly block/allow access."
"Authentication/IPAddressRestrictions.cs","31","cr-dotnet-0031","IP Address Restrictions","Application implements IP address-based security restrictions or access control mechanisms. Cloud load balancers and reverse proxies mask original client IP addresses, causing IP-based security rules to fail or incorrectly block/allow access."
"Authentication/IPAddressRestrictions.cs","42","cr-dotnet-0031","IP Address Restrictions","Application implements IP address-based security restrictions or access control mechanisms. Cloud load balancers and reverse proxies mask original client IP addresses, causing IP-based security rules to fail or incorrectly block/allow access."
"Authentication/WindowsAuthentication.cs","18","cr-dotnet-0030","Windows Authentication","Application uses Windows Authentication (NTLM/Kerberos) for user authentication. Windows Authentication doesn't work in non-Windows cloud platforms or cloud environments without Active Directory integration."
"Authentication/WindowsAuthentication.cs","24","cr-dotnet-0030","Windows Authentication","Application uses Windows Authentication (NTLM/Kerberos) for user authentication. Windows Authentication doesn't work in non-Windows cloud platforms or cloud environments without Active Directory integration."
"Authentication/WindowsAuthentication.cs","31","cr-dotnet-0030","Windows Authentication","Application uses Windows Authentication (NTLM/Kerberos) for user authentication. Windows Authentication doesn't work in non-Windows cloud platforms or cloud environments without Active Directory integration."
"Authentication/WindowsAuthentication.cs","40","cr-dotnet-0030","Windows Authentication","Application uses Windows Authentication (NTLM/Kerberos) for user authentication. Windows Authentication doesn't work in non-Windows cloud platforms or cloud environments without Active Directory integration."
"Configuration/HardCodedConnectionStrings.cs","15","cr-dotnet-0009","Hard-coded Connection Strings","Application contains database connection strings directly embedded in source code, configuration files, or compiled assemblies. This creates security vulnerabilities, prevents environment-specific configuration, and violates security best practices for credential management in cloud environments."
"Configuration/HardCodedConnectionStrings.cs","31","cr-dotnet-0009","Hard-coded Connection Strings","Application contains database connection strings directly embedded in source code, configuration files, or compiled assemblies. This creates security vulnerabilities, prevents environment-specific configuration, and violates security best practices for credential management in cloud environments."
"Configuration/HardCodedPortNumbers.cs","16","cr-dotnet-0017","Hard-coded Port Numbers","Application contains hard-coded port numbers for services, databases, or inter-service communication embedded in code or configuration. This prevents dynamic port assignment required by cloud service discovery mechanisms and can cause port conflicts."
"Configuration/HardCodedPortNumbers.cs","24","cr-dotnet-0017","Hard-coded Port Numbers","Application contains hard-coded port numbers for services, databases, or inter-service communication embedded in code or configuration. This prevents dynamic port assignment required by cloud service discovery mechanisms and can cause port conflicts."
"Configuration/HardCodedPortNumbers.cs","30","cr-dotnet-0017","Hard-coded Port Numbers","Application contains hard-coded port numbers for services, databases, or inter-service communication embedded in code or configuration. This prevents dynamic port assignment required by cloud service discovery mechanisms and can cause port conflicts."
"Configuration/HardCodedSecrets.cs","15","cr-dotnet-0123","Lack of Externalized Secrets","Application embeds API keys, authentication tokens, database passwords, or encryption keys directly in source code, app.config, web.config, appsettings.json, or other configuration files instead of using cloud-native secret management services. This creates security vulnerabilities and prevents proper credential lifecycle management."
"Configuration/HardCodedSecrets.cs","31","cr-dotnet-0123","Lack of Externalized Secrets","Application embeds API keys, authentication tokens, database passwords, or encryption keys directly in source code, app.config, web.config, appsettings.json, or other configuration files instead of using cloud-native secret management services. This creates security vulnerabilities and prevents proper credential lifecycle management."
"Configuration/HardCodedServiceUrls.cs","16","cr-dotnet-0011","Hard-coded Service URLs","Application contains hard-coded URLs pointing to environment-specific services, APIs, or endpoints embedded in code or configuration. This prevents application portability across cloud environments and requires code changes for deployment to different environments, violating externalized configuration principles."
"Configuration/HardCodedServiceUrls.cs","24","cr-dotnet-0011","Hard-coded Service URLs","Application contains hard-coded URLs pointing to environment-specific services, APIs, or endpoints embedded in code or configuration. This prevents application portability across cloud environments and requires code changes for deployment to different environments, violating externalized configuration principles."
"Configuration/MachineConfigDeps.cs","18","cr-dotnet-0012","Machine.config Dependencies","Application depends on machine.config file for machine-wide configuration settings. Machine.config is a Windows/.NET Framework concept that doesn't exist in containerized environments, causing configuration loading failures and preventing containerization."
